Study,Year,PMID,experimental_mean(SD),experimental_total,control_mean(SD),control_total, Cofactor,.
Sarrell,2002,12475841,4.36(1.05),33,5.64(1.54),32, Multiple doses,
Mandeberg,2002,12576370, 7.7(1.54),27, 7.81(1.49),25, Multiple doses,
Tal,2006,16599051, 6.25(1.1),21, 7(1),20, Multiple doses,
Grewal,2009,12576370, -4.39(4.27),23, -5.13(3.47),23, Multiple doses,
Luo,2010,19674354, 3.4(1.2),50, 4.9(1.7),43, Multiple doses,
Al Ansari,2010,20646715, 3.88(1.13),115, 3.97(1.4),56, Multiple doses,
Luo,2011,20636429, 5.7(1.5),57, 7.3(1.7),55, Multiple doses,
Miraglia Del Giudice,2012,22697080, 8(1.3),52, 8.8(1.6),54, Multiple doses,
Jacobs,2014,24344111, -2.06(1.7),52,-2.0(1.9),49, Single dose - measured after treatment,
Wu,2014,24862623, 4.9(2.95),197, 5.3(3.14),211, Multiple doses,
Teunissen,2014,24969648, 4(2.2),95, 4(2.96),94, Multiple doses,
Ojha,2014,25574983, 4.23(1.87),36, 4.64(2.0),36, Multiple doses,
Florin,2014,24862342, 6.6(2.98),31, 5.1(2.98),31, Single dose - measured after treatment,
Tinsa,2014,25574983, 3.5(1.97),37,4.48(3.81),26, Multiple doses,
Flores,2015,26334188,5.8(2.1),33,6.3(1.7),35, Multiple doses,
Khanal,2015, 26357896, -3.57(1.41),50, -2.26(1.15),50, Multiple doses,
,,,,,,,
,,,,,,,To make forest plot:
,,,,,,,Click 'Raw' view of this file
,,,,,,,Copy rows of data without column names
,,,,,,,Paste into one of the editors at https://openmetaanalysis.ocpu.io
