Study,Year,PMID,Current,Zhang. 2015,"Everard , 2015","Badgett, 2015","Zhang (Cochrane), 2013"
,,,,PMID: 26416925,PMID: 26295732,PMID: 26099054,PMID: 23900970.
Mandeberg,2002,12576370,,,,,
Tal,2006,16599051,,,,,
Kuzik,2007,17719935,,,,,
Luo,2010,19674354,,,,,
Al Ansari,2010,20646715,,,,,
Luo,2011,20636429,,,,,
Miraglia Del Giudice,2012,22697080,,,,,
Espelt,2012, NCT01238848,,,,,
Maheshkumar,2013,0,,,,,
Pandit,2013,0,,,,,
Wu,2014,24862623,,,,,
Jacobs,2014,24344111,,,,,
SABRE,2014,25389139,,,,,
Sharma,2014,23502662,,,,,
Teunissen,2014,24969648,,,,,
Ojha,2014,25574983,,,,,
Silver,2014, NCT01488448,,,,,
Tinsa,2014,25574983,,,,,
Flores,2015,26334188,,,,,
